incident_id,source_text_path,output_json_path,provider,model,extracted,extracted_at,valid,validation_errors,error,raw_response_path
ac2085720shell20fire2021-june-2023,data/raw/bsee/text/ac2085720shell20fire2021-june-2023.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac2085720shell20fire2021-june-2023.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:27:08.645683+00:00,True,,,
ac25-18july2021-exonmobil,data/raw/bsee/text/ac25-18july2021-exonmobil.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac25-18july2021-exonmobil.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:27:30.463667+00:00,True,,,
ac380-shell-29sept2020-updated,data/raw/bsee/text/ac380-shell-29sept2020-updated.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac380-shell-29sept2020-updated.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:27:45.454908+00:00,True,,,
ac815-17july2021-shell,data/raw/bsee/text/ac815-17july2021-shell.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac815-17july2021-shell.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:28:14.317939+00:00,True,,,
ac857-shell-12jul2018,data/raw/bsee/text/ac857-shell-12jul2018.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac857-shell-12jul2018.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:28:25.200113+00:00,True,,,
ac857-shell-26-apr-2021,data/raw/bsee/text/ac857-shell-26-apr-2021.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac857-shell-26-apr-2021.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:28:44.371169+00:00,True,,,
ac_815_shell_18-mar-2022,data/raw/bsee/text/ac_815_shell_18-mar-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ac_815_shell_18-mar-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:29:06.305854+00:00,True,,,
anadarko-eb-602-23-jan-2022,data/raw/bsee/text/anadarko-eb-602-23-jan-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/anadarko-eb-602-23-jan-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:29:35.081176+00:00,True,,,
anadarko-mc-82-03-dec-2021,data/raw/bsee/text/anadarko-mc-82-03-dec-2021.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/anadarko-mc-82-03-dec-2021.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:30:41.687510+00:00,True,,,
ba-a105-fieldwood-energy-26-apr-2017,data/raw/bsee/text/ba-a105-fieldwood-energy-26-apr-2017.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ba-a105-fieldwood-energy-26-apr-2017.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:31:03.210863+00:00,True,,,
ba-a133-b-gom-shelf-06-feb-2014,data/raw/bsee/text/ba-a133-b-gom-shelf-06-feb-2014.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ba-a133-b-gom-shelf-06-feb-2014.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:31:14.014132+00:00,True,,,
ba133-25may2021-gom-shelf-llc,data/raw/bsee/text/ba133-25may2021-gom-shelf-llc.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/ba133-25may2021-gom-shelf-llc.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:31:31.542005+00:00,True,,,
bp-mc-778-a-6-june-2022,data/raw/bsee/text/bp-mc-778-a-6-june-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/bp-mc-778-a-6-june-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:31:53.861418+00:00,True,,,
